Date,Clicks,Impressions,CTR,Position
2025-01-01,525,23087,2.27%,8.76
2024-12-31,632,24066,2.63%,8.07
2024-12-30,806,30767,2.62%,7.71
2024-12-29,793,29847,2.66%,7.99
2024-12-28,816,31188,2.62%,7.51
2024-12-27,895,33574,2.67%,7.29
2024-12-26,1065,37239,2.86%,6.87
2024-12-25,1044,36441,2.86%,6.97
2024-12-24,1040,38474,2.70%,7.46
2024-12-23,1183,42619,2.78%,6.55
2024-12-22,950,38286,2.48%,7.18
2024-12-21,945,36825,2.57%,6.99
2024-12-20,1083,39723,2.73%,6.85
2024-12-19,1158,39685,2.92%,7.06
2024-12-18,1151,38948,2.96%,6.96
2024-12-17,1195,39710,3.01%,7.82
2024-12-16,1157,40366,2.87%,9.95
2024-12-15,852,36395,2.34%,9.44
2024-12-14,861,33133,2.60%,7.69
2024-12-13,1082,35248,3.07%,7.55
2024-12-12,1254,36396,3.45%,7.76
2024-12-11,1519,38627,3.93%,9.7
2024-12-10,1257,38211,3.29%,9.55
2024-12-09,1329,38204,3.48%,9.69
2024-12-08,1077,35046,3.07%,11.25
2024-12-07,993,33879,2.93%,10.93
2024-12-06,1066,34121,3.12%,10.24
2024-12-05,1198,37017,3.24%,10.24
2024-12-04,1195,36121,3.31%,10.41
2024-12-03,1169,38188,3.06%,10.83
2024-12-02,1096,37195,2.95%,9.89
2024-12-01,940,33097,2.84%,10.82
2024-11-30,930,30934,3.01%,8.8
2024-11-29,1033,33660,3.07%,8.25
2024-11-28,1084,32491,3.34%,8.34
2024-11-27,1089,32252,3.38%,8.35
2024-11-26,1067,32561,3.28%,8.61
2024-11-25,1129,33482,3.37%,8.7
2024-11-24,883,30312,2.91%,9.28
2024-11-23,825,29752,2.77%,10.02
2024-11-22,944,30091,3.14%,8.68
2024-11-21,951,31512,3.02%,8.32
2024-11-20,1092,33372,3.27%,8.16
2024-11-19,1060,34698,3.05%,8.37
2024-11-18,1164,37820,3.08%,7.82
2024-11-17,1146,33925,3.38%,8.2
2024-11-16,892,32088,2.78%,7.83
2024-11-15,1018,33896,3%,7.76
2024-11-14,1228,34403,3.57%,7.93
2024-11-13,1072,34117,3.14%,7.85
2024-11-12,1083,34050,3.18%,8.28
2024-11-11,1016,33588,3.02%,7.85
2024-11-10,901,31256,2.88%,8.67
2024-11-09,803,29601,2.71%,8.36
2024-11-08,839,30328,2.77%,8.17
2024-11-07,935,31905,2.93%,7.95
2024-11-06,1001,31503,3.18%,8.25
2024-11-05,997,30581,3.26%,8.13
2024-11-04,959,29152,3.29%,8.06
2024-11-03,900,26307,3.42%,8.56
2024-11-02,702,23982,2.93%,8.49
2024-11-01,750,22937,3.27%,8.84
2024-10-31,843,22369,3.77%,7.88
2024-10-30,917,26033,3.52%,7.34
2024-10-29,819,26866,3.05%,7.66
2024-10-28,876,27989,3.13%,9.37
2024-10-27,722,26642,2.71%,10.73
2024-10-26,705,23450,3.01%,8.65
2024-10-25,791,24123,3.28%,8.31
2024-10-24,838,24989,3.35%,8.05
2024-10-23,958,26724,3.58%,7.87
2024-10-22,1008,26584,3.79%,7.6
2024-10-21,879,25905,3.39%,7.66
2024-10-20,881,23919,3.68%,8.35
2024-10-19,750,23892,3.14%,8.52
2024-10-18,840,24672,3.40%,7.83
2024-10-17,961,26524,3.62%,7.77
2024-10-16,896,26278,3.41%,7.86
2024-10-15,964,26243,3.67%,8
2024-10-14,944,26346,3.58%,7.95
2024-10-13,832,24039,3.46%,8.28
2024-10-12,831,22621,3.67%,8.09
2024-10-11,864,24368,3.55%,7.7
2024-10-10,863,25853,3.34%,7.62
2024-10-09,953,27674,3.44%,7.89
2024-10-08,951,27084,3.51%,8.22
2024-10-07,918,26284,3.49%,7.82
2024-10-06,777,23182,3.35%,8.35
2024-10-05,742,23501,3.16%,8.11
2024-10-04,778,25441,3.06%,8.15
2024-10-03,874,26430,3.31%,8.01
2024-10-02,838,28424,2.95%,8.04
2024-10-01,859,27430,3.13%,8.06
2024-09-30,926,26756,3.46%,8.02
2024-09-29,877,25893,3.39%,8.36
2024-09-28,742,23022,3.22%,8.03
2024-09-27,747,24613,3.03%,8.08
2024-09-26,864,27301,3.16%,7.84
2024-09-25,876,28348,3.09%,7.52
2024-09-24,950,29710,3.20%,8.11
2024-09-23,995,28188,3.53%,7.87
2024-09-22,774,24547,3.15%,8.55
2024-09-21,716,23571,3.04%,8.09
2024-09-20,749,26723,2.80%,8.52
2024-09-19,842,27135,3.10%,7.83
2024-09-18,916,27672,3.31%,8.11
2024-09-17,862,26883,3.21%,7.78
2024-09-16,729,24372,2.99%,8.22
2024-09-15,705,21424,3.29%,8.67
2024-09-14,695,22604,3.07%,8.06
2024-09-13,856,23194,3.69%,8.22
2024-09-12,815,24927,3.27%,7.75
2024-09-11,819,24748,3.31%,7.84
2024-09-10,800,24954,3.21%,7.4
2024-09-09,782,25875,3.02%,7.27
2024-09-08,705,24911,2.83%,7.86
2024-09-07,719,24369,2.95%,7.75
2024-09-06,719,24716,2.91%,7.41
2024-09-05,811,26934,3.01%,7.35
2024-09-04,777,26252,2.96%,7.37
2024-09-03,887,27286,3.25%,7.34
2024-09-02,853,28577,2.98%,7.3
2024-09-01,706,28874,2.45%,7.6
2024-08-31,693,25803,2.69%,7.22
2024-08-30,763,25727,2.97%,7.43
2024-08-29,804,26505,3.03%,7.06
2024-08-28,820,28091,2.92%,6.93
2024-08-27,786,30007,2.62%,7.03
2024-08-26,833,29474,2.83%,7.24
2024-08-25,719,26411,2.72%,7.81
2024-08-24,715,24863,2.88%,7.55
2024-08-23,787,24711,3.18%,7.5
2024-08-22,834,25613,3.26%,7.43
2024-08-21,819,27461,2.98%,7.3
2024-08-20,882,27038,3.26%,7.15
2024-08-19,869,27772,3.13%,7.27
2024-08-18,686,24154,2.84%,7.8
2024-08-17,699,23750,2.94%,7.06
2024-08-16,806,24387,3.31%,7.02
2024-08-15,822,24398,3.37%,6.84
2024-08-14,757,24935,3.04%,7.3
2024-08-13,897,25679,3.49%,7.24
2024-08-12,944,25254,3.74%,7.41
2024-08-11,859,22721,3.78%,7.63
2024-08-10,773,21612,3.58%,7.23
2024-08-09,754,22580,3.34%,7.52
2024-08-08,773,21639,3.57%,7.45
2024-08-07,816,21669,3.77%,7.38
2024-08-06,847,20549,4.12%,7.21
2024-08-05,875,19969,4.38%,7.47
2024-08-04,733,20308,3.61%,7.55
2024-08-03,729,19374,3.76%,7.32
2024-08-02,760,20087,3.78%,7.37
2024-08-01,791,21042,3.76%,7.07
2024-07-31,814,18619,4.37%,7.24
2024-07-30,823,20171,4.08%,7.08
2024-07-29,753,21374,3.52%,7.05
2024-07-28,681,19211,3.54%,8.23
2024-07-27,659,20019,3.29%,8.85
2024-07-26,732,22966,3.19%,8.53
2024-07-25,859,24700,3.48%,9.6
2024-07-24,871,23947,3.64%,7.45
2024-07-23,827,25757,3.21%,7.66
2024-07-22,890,24981,3.56%,7.46
2024-07-21,760,22897,3.32%,7.93
2024-07-20,754,23831,3.16%,9.16
2024-07-19,782,24912,3.14%,8.86
2024-07-18,774,26444,2.93%,8.77
2024-07-17,859,26823,3.20%,8.44
2024-07-16,885,25683,3.45%,8.4
2024-07-15,814,24223,3.36%,8.82
2024-07-14,716,22403,3.20%,8.99
2024-07-13,719,25802,2.79%,8.93
2024-07-12,840,27729,3.03%,8.42
2024-07-11,816,26296,3.10%,8.41
2024-07-10,887,26013,3.41%,9.03
2024-07-09,901,24897,3.62%,8.76
2024-07-08,877,26464,3.31%,9.37
2024-07-07,829,24161,3.43%,9.8
2024-07-06,756,22257,3.40%,9.26
2024-07-05,754,23283,3.24%,9.36
2024-07-04,856,23736,3.61%,8.73
2024-07-03,859,25087,3.42%,9.09
2024-07-02,834,26363,3.16%,8.9
2024-07-01,819,26137,3.13%,9.1
2024-06-30,726,24304,2.99%,9.84
2024-06-29,647,23169,2.79%,10.01
2024-06-28,816,26135,3.12%,9.24
2024-06-27,760,24464,3.11%,8.16
2024-06-26,761,24693,3.08%,8.13
2024-06-25,802,24847,3.23%,8.04
2024-06-24,790,24842,3.18%,9.29
2024-06-23,669,23394,2.86%,9.65
2024-06-22,660,22351,2.95%,9.13
2024-06-21,686,22341,3.07%,9.2
2024-06-20,716,23572,3.04%,9.56
2024-06-19,732,23279,3.14%,7.91
2024-06-18,758,21154,3.58%,7.46
2024-06-17,811,22119,3.67%,8.75
2024-06-16,800,23198,3.45%,7.21
2024-06-15,837,24191,3.46%,7.78
2024-06-14,892,24446,3.65%,7.63
2024-06-13,922,25239,3.65%,8.08
2024-06-12,855,25620,3.34%,8.26
2024-06-11,997,23718,4.20%,7.11
2024-06-10,911,23635,3.85%,7.09
2024-06-09,742,21567,3.44%,7.55
2024-06-08,638,20495,3.11%,7.21
2024-06-07,746,21998,3.39%,7.82
2024-06-06,788,22812,3.45%,7.27
2024-06-05,776,20900,3.71%,6.54
2024-06-04,734,20168,3.64%,6.56
2024-06-03,701,20691,3.39%,6.54
2024-06-02,522,16573,3.15%,7.02
2024-06-01,563,19332,2.91%,6.57
2024-05-31,695,21588,3.22%,6.4
2024-05-30,724,19722,3.67%,6.49
2024-05-29,660,18338,3.60%,7.13
2024-05-28,699,18890,3.70%,7.26
2024-05-27,708,20138,3.52%,9.15
2024-05-26,556,16272,3.42%,8.05
2024-05-25,509,15897,3.20%,7.45
2024-05-24,594,17111,3.47%,7.31
2024-05-23,637,18626,3.42%,6.58
2024-05-22,587,17642,3.33%,6.66
2024-05-21,592,17599,3.36%,7.11
2024-05-20,608,18048,3.37%,7.1
2024-05-19,537,17190,3.12%,7.91
2024-05-18,496,17549,2.83%,7.81
2024-05-17,634,19717,3.22%,6.96
2024-05-16,704,21517,3.27%,6.84
2024-05-15,709,21690,3.27%,6.79
2024-05-14,657,21552,3.05%,7.15
2024-05-13,642,20457,3.14%,7.22
2024-05-12,553,18742,2.95%,8.05
2024-05-11,585,19246,3.04%,7.48
2024-05-10,708,20715,3.42%,7.05
2024-05-09,734,21528,3.41%,7.38
2024-05-08,722,21931,3.29%,7.24
2024-05-07,761,22425,3.39%,7.46
2024-05-06,798,23510,3.39%,7.67
2024-05-05,714,21045,3.39%,8.45
2024-05-04,677,20321,3.33%,8.11
2024-05-03,667,21530,3.10%,8.18
2024-05-02,895,22799,3.93%,7.48
2024-05-01,778,21950,3.54%,8.22
2024-04-30,814,21973,3.70%,9.08
2024-04-29,1008,23110,4.36%,8.88
2024-04-28,1395,23079,6.04%,9.1
2024-04-27,1223,21532,5.68%,8.65
2024-04-26,1299,22787,5.70%,7.81
2024-04-25,1419,24055,5.90%,7.23
2024-04-24,1438,25252,5.69%,7.25
2024-04-23,1393,25624,5.44%,7.55
2024-04-22,1469,26600,5.52%,7.54
2024-04-21,1203,23778,5.06%,8.18
2024-04-20,1165,23641,4.93%,7.95
2024-04-19,1263,24703,5.11%,7.55
2024-04-18,846,26149,3.24%,7.55
2024-04-17,851,27071,3.14%,7.55
2024-04-16,930,28879,3.22%,7.41
2024-04-15,1018,30336,3.36%,7.34
2024-04-14,772,25432,3.04%,8.06
2024-04-13,739,26105,2.83%,7.86
2024-04-12,793,25773,3.08%,7.82
2024-04-11,858,26784,3.20%,7.72
2024-04-10,839,25848,3.25%,7.86
2024-04-09,824,26492,3.11%,7.77
2024-04-08,847,26514,3.19%,7.69
2024-04-07,570,22311,2.55%,8.74
2024-04-06,653,22750,2.87%,8.35
2024-04-05,690,24829,2.78%,7.9
2024-04-04,569,24285,2.34%,8.3
2024-04-03,650,24609,2.64%,7.96
2024-04-02,604,24078,2.51%,7.96
2024-04-01,648,23460,2.76%,7.9
2024-03-31,479,19817,2.42%,8.85
2024-03-30,480,18999,2.53%,8.39
2024-03-29,431,18452,2.34%,8.81
2024-03-28,512,20117,2.55%,8.57
2024-03-27,564,22544,2.50%,8.34
2024-03-26,585,22438,2.61%,8.26
2024-03-25,582,22497,2.59%,8.51
2024-03-24,534,20564,2.60%,8.55
2024-03-23,531,21047,2.52%,8.33
2024-03-22,507,21693,2.34%,8.58
2024-03-21,537,23185,2.32%,8.07
2024-03-20,555,25390,2.19%,8.1
2024-03-19,628,25794,2.43%,8.17
2024-03-18,531,24298,2.19%,8.44
2024-03-17,481,21140,2.28%,8.71
2024-03-16,450,20937,2.15%,8.68
2024-03-15,512,21982,2.33%,8.55
2024-03-14,572,24325,2.35%,8.3
2024-03-13,568,25643,2.22%,8.33
2024-03-12,568,25107,2.26%,8.68
2024-03-11,609,23886,2.55%,7.5
2024-03-10,462,21365,2.16%,7.83
2024-03-09,434,20725,2.09%,8.07
2024-03-08,531,21809,2.43%,8.34
2024-03-07,550,24254,2.27%,8.6
2024-03-06,612,24709,2.48%,8.64
2024-03-05,614,24930,2.46%,8.98
2024-03-04,616,25674,2.40%,8.83
2024-03-03,505,23774,2.12%,9.23
2024-03-02,540,22713,2.38%,8.83
2024-03-01,508,23557,2.16%,8.74
2024-02-29,612,25625,2.39%,8.54
2024-02-28,586,25611,2.29%,8.5
2024-02-27,661,26764,2.47%,8.26
2024-02-26,678,25996,2.61%,8.23
2024-02-25,637,23734,2.68%,9.16
2024-02-24,623,22627,2.75%,8.41
2024-02-23,650,23720,2.74%,8.5
2024-02-22,685,24831,2.76%,8.52
2024-02-21,797,25141,3.17%,8.17
2024-02-20,783,25736,3.04%,8.3
2024-02-19,875,25684,3.41%,8.39
2024-02-18,676,23253,2.91%,8.81
2024-02-17,641,23493,2.73%,8.69
2024-02-16,814,25208,3.23%,8.37
2024-02-15,917,27585,3.32%,7.76
2024-02-14,953,28608,3.33%,6.6
2024-02-13,993,29304,3.39%,7.01
2024-02-12,962,28015,3.43%,7.22
2024-02-11,782,24323,3.22%,8.6
2024-02-10,756,24633,3.07%,7.8
2024-02-09,932,26930,3.46%,8.06
2024-02-08,988,28654,3.45%,7.58
2024-02-07,1101,28874,3.81%,7.93
2024-02-06,845,27859,3.03%,8.22
2024-02-05,814,26558,3.06%,8.59
2024-02-04,663,23137,2.87%,8.98
2024-02-03,624,23516,2.65%,8.62
2024-02-02,673,24156,2.79%,8.49
2024-02-01,829,26251,3.16%,8.16
2024-01-31,834,26874,3.10%,8.33
2024-01-30,785,26666,2.94%,8.36
2024-01-29,892,27197,3.28%,8.42
2024-01-28,669,23020,2.91%,9.26
2024-01-27,663,24293,2.73%,9.08
2024-01-26,781,26370,2.96%,9.43
2024-01-25,742,25731,2.88%,8.63
2024-01-24,828,26609,3.11%,8.59
2024-01-23,819,27128,3.02%,8.64
2024-01-22,895,26510,3.38%,8.4
2024-01-21,724,23053,3.14%,8.16
2024-01-20,694,23008,3.02%,8.22
2024-01-19,738,24055,3.07%,8.03
2024-01-18,872,25065,3.48%,8.21
2024-01-17,815,25499,3.20%,8.36
2024-01-16,797,25272,3.15%,8.25
2024-01-15,813,25722,3.16%,8.71
2024-01-14,679,23318,2.91%,8.92
2024-01-13,687,23613,2.91%,8.62
2024-01-12,795,24148,3.29%,8.72
2024-01-11,862,25017,3.45%,8.21
2024-01-10,843,25440,3.31%,8.29
2024-01-09,894,25848,3.46%,8.31
2024-01-08,866,27293,3.17%,8.11
2024-01-07,720,25839,2.79%,8.63
2024-01-06,734,25046,2.93%,8.36
2024-01-05,794,24559,3.23%,8.26
2024-01-04,918,26266,3.50%,8.33
2024-01-03,890,26247,3.39%,8.19
2024-01-02,853,25149,3.39%,8.54
2024-01-01,558,17753,3.14%,9.15
2023-12-31,541,18053,3%,9.09
2023-12-30,740,22846,3.24%,7.85
2023-12-29,785,25259,3.11%,7.67
2023-12-28,891,26194,3.40%,7.73
2023-12-27,983,28512,3.45%,8.01
2023-12-26,1104,30838,3.58%,7.71
2023-12-25,1012,27942,3.62%,7.61
2023-12-24,819,26116,3.14%,7.46
2023-12-23,1010,30015,3.36%,7.46
2023-12-22,1089,32364,3.36%,7.5
2023-12-21,1160,33066,3.51%,7.24
2023-12-20,1174,33107,3.55%,7.18
2023-12-19,1137,32969,3.45%,7.47
2023-12-18,1120,32174,3.48%,7.5
2023-12-17,835,26256,3.18%,7.8
2023-12-16,804,26665,3.02%,7.63
2023-12-15,821,27798,2.95%,7.77
2023-12-14,987,28613,3.45%,7.85
2023-12-13,1021,28170,3.62%,7.69
2023-12-12,980,27820,3.52%,7.61
2023-12-11,1081,27977,3.86%,7.87
2023-12-10,749,24502,3.06%,8.03
2023-12-09,690,23460,2.94%,7.75
2023-12-08,778,24549,3.17%,7.85
2023-12-07,904,25676,3.52%,7.61
2023-12-06,900,26137,3.44%,7.38
2023-12-05,919,26144,3.52%,7.51
2023-12-04,901,26527,3.40%,7.96
2023-12-03,731,23407,3.12%,8.46
2023-12-02,682,22122,3.08%,8.18
2023-12-01,708,23224,3.05%,8.2
2023-11-30,746,24271,3.07%,7.44
2023-11-29,811,25608,3.17%,7.5
2023-11-28,879,26465,3.32%,7.75
2023-11-27,808,26555,3.04%,7.67
2023-11-26,660,22596,2.92%,8.61
2023-11-25,600,21776,2.76%,8.84
2023-11-24,627,24059,2.61%,8.38
2023-11-23,703,24679,2.85%,8.98
2023-11-22,698,24843,2.81%,8.82
2023-11-21,804,25963,3.10%,8.44
2023-11-20,778,27006,2.88%,7.93
2023-11-19,709,24971,2.84%,8.49
2023-11-18,708,23889,2.96%,8.53
2023-11-17,778,26037,2.99%,8.17
2023-11-16,753,24646,3.06%,8.41
2023-11-15,827,25691,3.22%,7.95
2023-11-14,835,24970,3.34%,8.26
2023-11-13,852,24578,3.47%,8.28
2023-11-12,664,22475,2.95%,8.57
2023-11-11,622,21906,2.84%,9.1
2023-11-10,639,21981,2.91%,8.32
2023-11-09,657,23343,2.81%,8.1
2023-11-08,711,23512,3.02%,8.29
2023-11-07,702,23458,2.99%,8.27
2023-11-06,744,23256,3.20%,8.14
2023-11-05,619,20973,2.95%,9.21
2023-11-04,532,19412,2.74%,8.95
2023-11-03,664,20904,3.18%,8.48
2023-11-02,561,20163,2.78%,8.9
2023-11-01,566,19610,2.89%,8.84
2023-10-31,603,19812,3.04%,8.74
2023-10-30,630,21775,2.89%,8.45
2023-10-29,575,20613,2.79%,8.96
2023-10-28,483,19266,2.51%,9.62
2023-10-27,560,20044,2.79%,8.85
2023-10-26,608,21914,2.77%,8.54
2023-10-25,596,22634,2.63%,8.36
